iter	Passed	Remaining
0	143	143054
1	151	75450
2	155	51702
3	160	40044
4	167	33259
5	170	28325
6	176	25067
7	180	22409
8	183	20196
9	186	18436
10	189	17067
11	194	15978
12	197	14966
13	199	14075
14	203	13356
15	206	12705
16	210	12147
17	213	11642
18	218	11301
19	221	10877
20	224	10486
21	228	10138
22	231	9817
23	234	9520
24	238	9283
25	241	9052
26	244	8811
27	247	8603
28	251	8410
29	254	8231
30	259	8126
31	263	7965
32	266	7808
33	271	7720
34	275	7583335	278	7458336	281	7318337	284	7197338	287	70773339	308	7412
40	312	7314
41	316	7224
42	319	7108
43	323	7020
44	327	6946
45	331	6884
46	335	6796
47	338	6716
48	342	6654
49	347	6595
50	350	6513
51	353	6440
52	358	6403
53	362	6345
54	365	6286
55	370	6239
56	374	6202
57	378	6142
58	382	6094
59	386	6051
60	389	5994
61	392	5939
62	396	5899
63	401	5869
64	404	5812
65	406	5756
66	410	5715
67	415	5689
68	418	5645
69	421	5597
70	425	5569
71	430	5543
72	433	5502
73	437	5475
74	442	5460
75	446	5427
76	449	5386
77	453	5358
78	458	5343
79	461	5303
80	463	5264
81	468	5241
82	472	5223
83	475	5189
84	478	5154
85	482	5130
86	487	5113
87	490	5081
88	493	5049
89	498	5040
90	502	5022
91	505	4990
92	508	4961
93	511	4930
94	514	4900
95	517	4872
96	521	4854
97	526	4844
98	529	4817
99	531	4786
100	534	4761
101	538	4743
102	542	4727
103	545	4701
104	548	4678
105	552	4656
106	555	4634
107	557	4607
108	560	4584
109	563	4558
110	568	45491111	571	45321112	574	45091113	577	44861114	580	44701115	585	44621116	588	44391117	591	44181118	594	44001119	598	43871120	601	43681121	604	43531122	608	43361123	613	43331124	616	43141125	619	42941126	622	42791127	627	4271
128	633	4276
129	637	4264
130	642	4263
131	647	4256
132	650	4238
133	653	4222
134	657	4213
135	660	4198
136	664	4187
137	667	4169
138	671	4159
139	676	4157
140	680	4143
141	683	4127
142	686	4116
143	690	4104
144	693	4088
145	697	4079
146	701	4072
147	705	4058
148	708	4046
149	713	4041
150	716	4029
151	720	4017
152	723	4005
153	727	3999
154	731	3985
155	734	3973
156	736	3956
157	740	3948
158	746	3946
159	750	3942
160	759	39591161	764	39541162	771	39611163	778	39661164	783	39651165	787	39571166	792	3952167	789	3909
168	792	3897
169	802	3916
170	808	3921
171	814	3920
172	819	3915
173	823	3910
174	828	3903
175	835	3910
176	840	3905
177	849	3921
178	856	3928
179	862	3928
180	869	3936
181	876	3939
182	880	3931
183	887	3936
184	892	3932
185	898	3933
1186	926	40261187	931	4021188	921	3954
1189	942	4019190	929	3937
191	936	3942
192	941	3935
193	944	3923
194	948	3914
195	951	3902
196	954	3889
197	957	3876
198	961	3871
199	964	3859
200	967	3846
201	970	3835
202	975	3828
203	978	3816
204	981	3805
205	984	3794
206	989	3790
207	992	3777
208	994	3765
209	997	3753
210	1001	3744
211	1004	3734
212	1006	3720
213	1010	3710
214	1013	3700
215	1017	3694
216	1021	3685
217	1024	3673
218	1027	3663
219	1031	3658
220	1034	3647
221	1038	3639
222	1041	3629
223	1045	3622
224	1049	3614
225	1052	3603
226	1055	3593
227	1059	3588
228	1062	3578
229	1066	3570
230	1069	3558
231	1073	3552
232	1075	3541
233	1078	3530
234	1081	3519
235	1084	3509
236	1089	3506
237	1092	3496
238	1095	3487
239	1097	3476
240	1101	3470
241	1104	3460
242	1108	3452
243	1111	3443
244	1116	3440
245	1119	3432
246	1122	3421
247	1125	3412
248	1128	3404
249	1132	3397
250	1135	3388
251	1138	3379
252	1141	3369
253	1148	3372
254	1150	3362
255	1153	3353
256	1156	3343
257	1160	3336
258	1163	3328
259	1166	3320
260	1169	3311
261	1173	3304
262	1177	3300
263	1180	3292
264	1183	3282
265	1186	3273
266	1191	3269
267	1193	3260
268	1196	3251
269	1199	3242
270	1203	3236
271	1206	3229
272	1208	3219
273	1211	3211
274	1215	3203
275	1218	3195
276	1222	3189
277	1224	3180
278	1227	3172
279	1230	3164
280	1233	3155
281	1236	3148
282	1239	3141
283	1243	3134
284	1246	3126
285	1248	3117
286	1251	3110
287	1256	3106
288	1259	3099
289	1262	3091
290	1265	3084
291	1268	3076
292	1271	3068
293	1274	3060
294	1278	3054
295	1281	3046
296	1284	3041
297	1287	3033
298	1291	3026
299	1294	3021
300	1298	3015
301	1301	3007
302	1305	3002
303	1308	2995
304	1312	2990
305	1315	2984
306	1319	2978
307	1322	2971
308	1326	2965
309	1329	2958
310	1332	2951
311	1335	2944
312	1339	2939
313	1342	2933
314	1346	2927
315	1348	2919
316	1351	2912
317	1355	2907
318	1359	2901
319	1364	2898
320	1366	2891
321	1376	2898
322	1380	2893
323	1385	2889
324	1390	2887
325	1395	2885
326	1398	2878
327	1401	2870
328	1403	2863
329	1407	2858
330	1410	2851
331	1413	2845
332	1416	2837
333	1419	2830
334	1423	2825
335	1426	2819
336	1429	2812
337	1432	2806
338	1438	2803
339	1440	2796
340	1444	2791
341	1447	2784
342	1450	2778
343	1453	2771
344	1455	2764
345	1459	2757
346	1462	2752
347	1466	2747
348	1469	2741
349	1472	2734
350	1475	2728
351	1480	2725
352	1482	2717
353	1486	2712
354	1489	2706
355	1493	2701
356	1496	2694
357	1499	2688
358	1502	2681
359	1505	2676
360	1508	2670
361	1511	2664
362	1514	2657
363	1517	2650
364	1521	2647
365	1524	2640
366	1527	2634
367	1530	2628
368	1533	2622
369	1537	2617
370	1540	2611
371	1543	2605
372	1546	2599
373	1550	2595
374	1553	2589
375	1557	2584
376	1560	2578
377	1564	2573
378	1567	2567
379	1570	2562
380	1573	2556
381	1577	2551
382	1580	2546
383	1584	2541
384	1587	2535
385	1591	2531
386	1594	2525
387	1598	2520
388	1600	2514
389	1604	2510
390	1609	2506
391	1611	2500
392	1615	2495
393	1619	2490
394	1622	2484
395	1624	2478
396	1628	2473
397	1631	2467
398	1634	2461
399	1637	2456
400	1640	2450
401	1642	2444
402	1646	2439
403	1649	2433
404	1652	2428
405	1656	2423
406	1658	2417
407	1662	2412
408	1667	2409
409	1671	2404
410	1675	2400
411	1680	2397
412	1683	2392
413	1692	2396
414	1696	2391
415	1700	2387
416	1706	2385
417	1710	2381
418	1713	2375
419	1716	2370
420	1719	2365
421	1724	2362
422	1730	2360
423	1734	2356
424	1738	2352
425	1742	2347
426	1746	2344
427	1751	2340
428	1754	2335
429	1760	2333
430	1763	2328
431	1767	2323
432	1771	2319
433	1776	2316
434	1780	2312
435	1783	2306
436	1785	2300
437	1789	2296
438	1793	2291
439	1796	2286
440	1799	2280
441	1802	2275
442	1805	2270
443	1808	2265
444	1811	2259
445	1814	2253
446	1818	2249
447	1821	2244
448	1824	2238
449	1827	2233
450	1830	2227
451	1833	2222
452	1836	2217
453	1839	2212
454	1842	2206
455	1845	2201
456	1848	2196
457	1851	2190
458	1853	2184
459	1857	2180
460	1860	2174
461	1863	2169
462	1865	2164
463	1869	2159
464	1871	2153
465	1876	2149
466	1878	2144
467	1882	2139
468	1885	2134
469	1890	2132
470	1893	2126
471	1896	2121
472	1899	2115
473	1903	2111
474	1906	2107
475	1909	2102
476	1912	2096
477	1915	2091
478	1919	2087
479	1922	2083
480	1925	2077
481	1928	2072
482	1931	2067
483	1934	2062
484	1937	2057
485	1941	2053
486	1946	2050
487	1949	2045
488	1952	2039
489	1955	2034
490	1958	2030
491	1962	2025
492	1965	2021
493	1969	2016
494	1972	2012
495	1976	2008
496	1979	2003
497	1982	1998
498	1985	1993
499	1989	1989
500	1992	1984
501	1995	1979
502	1998	1974
503	2002	1970
504	2005	1965
505	2008	1960
506	2011	1955
507	2014	1950
508	2016	1945
509	2020	1940
510	2023	1936
511	2026	1931
512	2031	1928
513	2033	1923
514	2036	1918
515	2040	1913
516	2044	1910
517	2047	1905
518	2050	1900
519	2053	1895
520	2056	1890
521	2060	1886
522	2063	1882
523	2067	1878
524	2070	1873
525	2074	1869
526	2077	1864
527	2081	1860
528	2084	1856
529	2089	1852
530	2092	1847
531	2095	1843
532	2099	1839
533	2102	1834
534	2105	1830
535	2108	1824
536	2111	1820
537	2115	1816
538	2117	1811
539	2121	1806
540	2123	1801
541	2126	1797
542	2130	1792
543	2133	1788
544	2136	1783
545	2139	1779
546	2144	1775
547	2147	1771
548	2150	1766
549	2153	1762
550	2161	1761
551	2164	1756
552	2167	1751
553	2170	1747
554	2174	1743
555	2177	1739
556	2180	1734
557	2183	1729
558	2188	1726
559	2192	1722
560	2195	1718
561	2200	1715
562	2203	1710
563	2206	1705
564	2209	1701
565	2214	1697
566	2217	1693
567	2220	1688
568	2223	1684
569	2226	1679
570	2230	1675
571	2233	1671
572	2235	1666
573	2238	1661
574	2242	1657
575	2246	1653
576	2249	1648
577	2252	1644
578	2255	1639
579	2258	1635
580	2261	1631
581	2264	1626
582	2267	1621
583	2272	1618
584	2275	1614
585	2278	1609
586	2281	1605
587	2290	1604
588	2298	1603
589	2302	1599
590	2306	1595
591	2312	1593
592	2315	1589
593	2318	1584
594	2321	1579
595	2323	1575
596	2327	1570
597	2331	1567
598	2333	1562
599	2337	1558
600	2340	1553
601	2343	1549
602	2347	1545
603	2350	1540
604	2352	1536
605	2355	1531
606	2359	1527
607	2362	1523
608	2366	1519
609	2369	1514
610	2373	1510
611	2377	1507
612	2380	1502
613	2383	1498
614	2386	1494
615	2390	1489
616	2393	1485
617	2396	1481
618	2399	1476
619	2404	1473
620	2406	1468
621	2409	1464
622	2412	1460
623	2416	1456
624	2419	1451
625	2422	1447
626	2425	1443
627	2429	1439
628	2432	1434
629	2435	1430
630	2438	1426
631	2442	1422
632	2446	1418
633	2449	1414
634	2452	1409
635	2455	1405
636	2458	1401
637	2462	1397
638	2464	1392
639	2467	1388
640	2470	1383
641	2474	1380
642	2477	1375
643	2480	1371
644	2483	1367
645	2488	1363
646	2492	1359
647	2495	1355
648	2499	1351
649	2502	1347
650	2506	1343
651	2509	1339
652	2513	1335
653	2516	1331
654	2520	1327
655	2522	1322
656	2526	1318
657	2529	1314
658	2533	1310
659	2536	1306
660	2539	1302
661	2543	1298
662	2546	1294
663	2548	1289
664	2551	1285
665	2555	1281
666	2558	1277
667	2561	1273
668	2564	1269
669	2567	1264
670	2572	1261
671	2575	1257
672	2578	1252
673	2581	1248
674	2585	1244
675	2588	1240
676	2590	1236
677	2593	1231
678	2597	1228
679	2602	1224
680	2604	1220
681	2607	1215
682	2610	1211
683	2615	1208
684	2618	1203
685	2620	1199
686	2624	1195
687	2626	1191
688	2629	1187
689	2632	1182
690	2636	1178
691	2638	1174
692	2642	1170
693	2645	1166
694	2648	1162
695	2652	1158
696	2656	1154
697	2659	1150
698	2662	1146
699	2665	1142
700	2670	1138
701	2673	1134
702	2676	1130
703	2680	1126
704	2683	1122
705	2686	1118
706	2689	1114
707	2692	1110
708	2695	1106
709	2700	1103
710	2703	1098
711	2706	1094
712	2709	1090
713	2714	1087
714	2716	1082
715	2720	1078
716	2722	1074
717	2725	1070
718	2729	1066
719	2733	1062
720	2736	1058
721	2739	1054
722	2743	1051
723	2746	1046
724	2750	1043
725	2754	1039
726	2757	1035
727	2761	1031
728	2764	1027
729	2767	1023
730	2771	1019
731	2774	1015
732	2777	1011
733	2780	1007
734	2785	1004
735	2788	1000
736	2791	996
737	2794	992
738	2797	988
739	2801	984
740	2804	980
741	2807	976
742	2810	972
743	2815	968
744	2817	964
745	2820	960
746	2822	956
747	2825	951
748	2829	948
749	2832	944
750	2835	940
751	2838	935
752	2841	931
753	2843	927
754	2846	923
755	2850	919
756	2852	915
757	2855	911
758	2859	908
759	2862	903
760	2865	899
761	2868	895
762	2872	892
763	2875	888
764	2878	884
765	2881	880
766	2886	876
767	2889	872
768	2892	868
769	2895	864
770	2898	860
771	2901	856
772	2904	852
773	2906	848
774	2910	844
775	2913	841
776	2916	836
777	2919	832
778	2922	829
779	2925	825
780	2929	821
781	2932	817
782	2936	813
783	2940	810
784	2943	806
785	2946	802
786	2950	798
787	2953	794
788	2956	790
789	2959	786
790	2962	782
791	2966	778
792	2971	775
793	2974	771
794	2977	767
795	2980	763
796	2985	760
797	2988	756
798	2991	752
799	2994	748
800	2998	745
801	3001	741
802	3004	737
803	3007	733
804	3011	729
805	3015	725
806	3018	721
807	3022	718
808	3025	714
809	3029	710
810	3032	706
811	3034	702
812	3037	698
813	3041	695
814	3044	691
815	3048	687
816	3050	683
817	3054	679
818	3058	675
819	3062	672
820	3065	668
821	3070	664
822	3073	661
823	3076	657
824	3080	653
825	3082	649
826	3086	645
827	3089	641
828	3092	637
829	3095	634
830	3100	630
831	3103	626
832	3105	622
833	3109	618
834	3113	615
835	3116	611
836	3119	607
837	3122	603
838	3125	599
839	312839	31840	313840	31841	313841	31842	313842	31843	314843	31844	314844	31845	314845	31846	315846	31847	315847	31848	315848	31849	316849	31850	3170	555
851	3174	551
852	3179	547
853	3183	544
854	3190	541
855	3195	537
856	3198	533
857	3201	529
858	3204	525
859	3208	522
860	3211	518
861	3214	514
862	3217	510
863	3220	506
864	3225	503
865	3228	499
866	3231	495
867	3235	491
868	3239	488
869	3241	484
870	3244	480
871	3247	476
872	3251	473
873	3254	469
874	3257	465
875	3260	461
876	3265	458
877	3268	454
878	3271	450
879	3274	446
880	3278	442
881	3281	439
882	3284	435
883	3286	431
884	3289	427
885	3293	423
886	3296	419
887	3298	416
888	3302	412
889	3305	408
890	3308	404
891	3311	400
892	3314	397
893	3317	393
894	3321	389
895	3324	385
896	3327	382
897	3330	378
898	3335	374
899	3338	370
900	3340	367
901	3344	363
902	3347	359
903	3350	355
904	3353	352
905	3356	348
906	3359	344
907	3364	340
908	3367	337
909	3370	333
910	3373	329
911	3379	326
912	3382	322
913	3385	318
914	3388	314
915	3391	310
916	3396	307
917	3398	303
918	3401	299
919	3404	296
920	3409	292
921	3412	288
922	3414	284
923	3417	281
924	3420	277
925	3423	273
926	3427	269
927	3430	266
928	3432	262
929	3436	258
930	3439	254
931	3442	251
932	3445	247
933	3448	243
934	3451	239
935	3454	236
936	3457	232
937	3460	228
938	3463	224
939	3466	221
940	3470	217
941	3472	213
942	3477	210
943	3480	206
944	3483	202
945	3487	199
946	3491	195
947	3494	191
948	3497	187
949	3500	184
950	3503	180
951	3508	176
952	3511	173
953	3514	169
954	3518	165
955	3521	162
956	3524	158
957	3527	154
958	3530	150
959	3533	147
960	3536	143
961	3540	139
962	3543	136
963	3547	132
964	3549	128
965	3552	125
966	3556	121
967	3558	117
968	3563	114
969	3566	110
970	3569	106
971	3572	102
972	3575	99
973	3579	95
974	3582	91
975	3585	88
976	3588	84
977	3594	80
978	3597	77
979	3600	73
980	3603	69
981	3608	66
982	3611	62
983	3614	58
984	3617	55
985	3620	51
986	3623	47
987	362987	3988	362988	3989	363989	3990	363990	3991	363991	3992	3643	25
993	3646	22
994	3653	18
995	3656	14
996	3661	11
997	3666	7
998	3668	3
999	3671	0
3692	0
